# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
hhh 	止	c=3 d=1 t=13520
hhhh 	目	c=257 d=2.10596 t=17625
hhu 	卡	c=3 d=1 t=13277
hi 	步	c=2 d=1 t=17488
hidm 	频	c=1 d=1 t=8660
hjj 	卓	c=1 d=1 t=13843
hjs 	桌	c=13 d=1.89205 t=14897
hk 	占	c=1 d=1 t=10625
hka 	战	c=18 d=2.07845 t=10942
hko 	点	c=13 d=1.73823 t=16803
hsjh 	瞫	c=1 d=1 t=14872
htdh 	睡在	c=2 d=1 t=14375
hw 	具	c=16 d=1.47477 t=17654
hx 	此	c=7 d=1 t=15784
hxf 	些	c=18 d=1.31314 t=17146
i 	不	c=107 d=1.49935 t=17717
ia 	江	c=1 d=1 t=11086
iagw 	满	c=2 d=1.21981 t=9645
ibi 	涵	c=1 d=1 t=16438
ibn 	池	c=1 d=1 t=17259
ic 	汉	c=5 d=1 t=13160
ick 	治	c=3 d=1.00078 t=16463
icy 	汉	c=8 d=1.10611 t=14061
id 	尖	c=2 d=1 t=12178
idr 	源	c=110 d=2.48169 t=17258
idy 	汰	c=1 d=1 t=10515
ieb 	浮	c=3 d=2.00288 t=4851
ifc 	法	c=22 d=1.00002 t=17501
ifw 	潜	c=4 d=1.52994 t=17792
ig 	汪	c=2 d=1.99501 t=1548
igd 	添	c=9 d=1.00004 t=11465
ige 	清	c=11 d=1.82696 t=17204
igg 	汪	c=4 d=2.78382 t=7240
ih 	小	c=17 d=1.03442 t=17015
ihcv 	婆	c=1 d=1 t=11645
ihi 	涉	c=1 d=1 t=2935
ii 	水	c=1 d=1 t=9642
iie 	消	c=2 d=1.00169 t=11971
iit 	沙	c=6 d=5.78189 t=16541
ijl 	温	c=7 d=1 t=15860
ijo 	湿	c=1 d=1 t=12707
ijtl 	滥	c=1 d=1 t=8602
ilr 	渐	c=2 d=1.99501 t=15837
